ideCadastro;Nome_deputado;Partido;UF;cat_cargo_titusup
220593;Abilio Brunini;PL;MT;Titular
204379;Acácio Favacho;MDB;AP;Titular
220714;Adail Filho;REPUBLICANOS;AM;Titular
204560;Adolfo Viana;PSDB;BA;Titular
204528;Adriana Ventura;NOVO;SP;Titular
121948;Adriano do Baldy;PP;GO;Titular
74646;Aécio Neves;PSDB;MG;Titular
160508;Afonso Florence;PT;BA;Titular
136811;Afonso Hamm;PP;RS;Titular
178835;Afonso Motta;PDT;RS;Titular
160527;Aguinaldo Ribeiro;PP;PB;Titular
204495;Airton Faleiro;PT;PA;Titular
204549;AJ Albuquerque;PP;CE;Titular
73579;Alberto Fraga;PL;DF;Titular
74696;Alberto Mourão;MDB;SP;Titular
220538;Albuquerque;REPUBLICANOS;RR;Titular
160559;Alceu Moreira;MDB;RS;Titular
204501;Alencar Santana;PT;SP;Titular
178972;Alex Manente;CIDADANIA;SP;Titular
204571;Alex Santana;REPUBLICANOS;BA;Titular
220542;Alexandre Guimarães;MDB;TO;Titular
160545;Alexandre Leite;UNIÃO;SP;Titular
220554;Alexandre Lindenmeyer;PT;RS;Titular
204503;Alexandre Padilha;PT;SP;Titular
220576;Alfredo Gaspar;UNIÃO;AL;Titular
74057;Alice Portugal;PCdoB;BA;Titular
178927;Aliel Machado;PV;PR;Titular
178937;Altineu Côrtes;PL;RJ;Titular
178881;Aluisio Mendes;REPUBLICANOS;MA;Titular
220596;Amália Barros;PL;MT;Titular
220707;Amanda Gentil;PP;MA;Titular
204356;Amaro Neto;REPUBLICANOS;ES;Titular
220715;Amom Mandel;CIDADANIA;AM;Titular
107970;Ana Paula Leão;PP;MG;Titular
220556;Ana Paula Lima;PT;SC;Titular
220632;Ana Pimentel;PT;MG;Titular
220657;André Fernandes;PL;CE;Titular
204423;André Ferreira;PL;PE;Titular
133439;André Figueiredo;PDT;CE;Titular
178882;André Fufuca;PP;MA;Titular
204515;André Janones;AVANTE;MG;Titular
220676;Andreia Siqueira;MDB;PA;Titular
123756;Antônia Lúcia;REPUBLICANOS;AC;Titular
220544;Antonio Andrade;REPUBLICANOS;TO;Titular
160553;Antonio Brito;PSD;BA;Titular
220638;Antonio Carlos Rodrigues;PL;SP;Titular
220675;Antônio Doido;MDB;PA;Titular
220549;Any Ortiz;CIDADANIA;RS;Titular
73433;Arlindo Chinaglia;PT;SP;Titular
141391;Arnaldo Jardim;CIDADANIA;SP;Titular
160541;Arthur Lira;PP;AL;Titular
160600;Arthur Oliveira Maia;UNIÃO;BA;Titular
74090;Átila Lins;PSD;AM;Titular
123086;Átila Lira;PP;PI;Titular
160665;Augusto Coutinho;REPUBLICANOS;PE;Titular
220577;Augusto Puppio;MDB;AP;Titular
160512;Aureo Ribeiro;SOLIDARIEDADE;RJ;Titular
69871;Bacelar;PV;BA;Titular
178975;Baleia Rossi;MDB;SP;Titular
220605;Bandeira de Mello;PSB;RJ;Titular
220612;Bebeto;PP;RJ;Titular
73701;Benedita da Silva;PT;RJ;Titular
109429;Benes Leocádio;UNIÃO;RN;Titular
204358;Beto Pereira;PSDB;MS;Titular
220698;Beto Preto;PSD;PR;Titular
220683;Beto Richa;PSDB;PR;Titular
204374;Bia Kicis;PL;DF;Titular
204388;Bibo Nunes;PL;RS;Titular
160538;Bohn Gass;PT;RS;Titular
210989;Bruno Farias;AVANTE;MG;Titular
220635;Bruno Ganem;PODE;SP;Titular
220574;Cabo Gilberto Silva;PL;PB;Titular
220548;Camila Jara;PT;MS;Titular
204572;Capitão Alberto Neto;PL;AM;Titular
220690;Capitão Alden;PL;BA;Titular
178829;Capitão Augusto;PL;SP;Titular
204507;Carla Zambelli;PL;SP;Titular
204361;Carlos Chiodini;MDB;SC;Titular
178962;Carlos Gomes;REPUBLICANOS;RS;Titular
178993;Carlos Henrique Gaguim;UNIÃO;TO;Titular
204460;Carlos Jordy;PL;RJ;Titular
74262;Carlos Sampaio;PSD;SP;Titular
204426;Carlos Veras;PT;PE;Titular
141398;Carlos Zarattini;PT;SP;Titular
164360;Carmen Zanotto;CIDADANIA;SC;Titular
220704;Carol Dartora;PT;PR;Titular
204369;Caroline de Toni;PL;SC;Titular
220699;Castro Neto;PSD;PI;Titular
206018;Célia Xakriabá;PSOL;MG;Titular
178876;Célio Silveira;MDB;GO;Titular
204488;Célio Studart;PSD;CE;Titular
73441;Celso Russomanno;REPUBLICANOS;SP;Titular
204496;Celso Sabino;UNIÃO;PA;Titular
204504;Cezinha de Madureira;PSD;SP;Titular
74171;Chico Alencar;PSOL;RJ;Titular
204476;Chiquinho Brazão;S.PART.;RJ;Titular
204462;Chris Tonietto;PL;RJ;Titular
220665;Clarissa Tércio;PP;PE;Titular
74537;Claudio Cajado;PP;BA;Titular
141408;Cleber Verde;MDB;MA;Titular
