txNomeParlamentar,genero
AJ Albuquerque,H
Abilio Brunini,H
Acácio Favacho,H
Adail Filho,H
Adilson Barroso,H
Adolfo Viana,H
Adriana Ventura,M
Adriano do Baldy,H
Afonso Florence,H
Afonso Hamm,H
Afonso Motta,H
Aguinaldo Ribeiro,H
Airton Faleiro,H
Alberto Fraga,H
Alberto Mourão,H
Albuquerque,H
Alceu Moreira,H
Alencar Santana,H
Alex Manente,H
Alex Santana,H
Alexandre Guimarães,H
Alexandre Leite,H
Alexandre Lindenmeyer,H
Alexandre Padilha,H
Alfredinho,H
Alfredo Gaspar,H
Alice Portugal,M
Aliel Machado,H
Aline Gurgel,M
Allan Garcês,H
Altineu Côrtes,H
Aluisio Mendes,H
Amanda Gentil,M
Amaro Neto,H
Amom Mandel,H
Amália Barros,M
Ana Paula Leão,M
Ana Paula Lima,M
Ana Pimentel,M
Andreia Siqueira,M
André Fernandes,H
André Ferreira,H
André Figueiredo,H
André Fufuca,H
André Janones,H
Antonio Andrade,H
Antonio Brito,H
Antonio Carlos Rodrigues,H
Antônia Lúcia,M
Antônio Doido,H
Any Ortiz,M
Arlindo Chinaglia,H
Arnaldo Jardim,H
Arthur Lira,H
Arthur Oliveira Maia,H
Augusto Coutinho,H
Augusto Puppio,H
Aureo Ribeiro,H
Aécio Neves,H
Bacelar,H
Baleia Rossi,H
Bandeira de Mello,H
Bebeto,H
Benedita da Silva,M
Benes Leocádio,H
Beto Pereira,H
Beto Preto,H
Beto Richa,H
Bia Kicis,M
Bibo Nunes,H
Bohn Gass,H
Bosco Costa,H
Bruno Farias,H
Bruno Ganem,H
Cabo Gilberto Silva,H
Caio Vianna,H
Camila Jara,M
Capitão Alberto Neto,H
Capitão Alden,H
Capitão Augusto,H
Capitão Samuel,H
Carla Ayres,M
Carla Dickson,M
Carla Zambelli,M
Carlos Chiodini,H
Carlos Gomes,H
Carlos Henrique Gaguim,H
Carlos Jordy,H
Carlos Sampaio,H
Carlos Veras,H
Carlos Zarattini,H
Carmen Zanotto,M
Carol Dartora,M
Caroline de Toni,M
Castro Neto,H
Celso Russomanno,H
Celso Sabino,H
Cezinha de Madureira,H
Charles Fernandes,H
Chico Alencar,H
Chiquinho Brazão,H
Chris Tonietto,M
Christiane de Souza Yared,M
Clarissa Tércio,M
Claudio Cajado,H
Cleber Verde,H
Clodoaldo Magalhães,H
Cobalchini,H
Coronel Armando,H
Coronel Assis,H
Coronel Chrisóstomo,H
Coronel Fernanda,H
Coronel Meira,H
Coronel Telhada,H
Coronel Ulysses,H
Covatti Filho,H
Cristiane Lopes,M
Célia Xakriabá,M
Célio Moura,H
Célio Silveira,H
Célio Studart,H
Da Vitoria,H
Dagoberto Nogueira,H
Daiana Santos,M
Dal Barreto,H
Damião Feliciano,H
Dandara,H
Dani Cunha,M
Daniel Agrobom,H
Daniel Almeida,H
Daniel Barbosa,H
Daniel Freitas,H
Daniel José,H
Daniel Trzeciak,H
Daniela Reinehr,M
Daniela do Waguinho,M
Danilo Forte,H
Danrlei de Deus Hinterholz,H
Darci de Matos,H
David Soares,H
Dayany Bittencourt,M
Defensor Stélio Dener,H
Delegada Adriana Accorsi,M
Delegada Ione,M
Delegada Katarina,M
Delegado Bruno Lima,H
Delegado Caveira,H
Delegado Fabio Costa,H
Delegado Marcelo Freitas,H
Delegado Matheus Laiola,H
Delegado Palumbo,H
Delegado Paulo Bilynskyj,H
Delegado Ramagem,H
Delegado da Cunha,H
Delegado Éder Mauro,H
Deltan Dallagnol,H
Denise Pessôa,M
Detinha,M
Diego Andrade,H
Diego Coronel,H
Diego Garcia,H
Dilceu Sperafico,H
Dilvanda Faro,M
Dimas Fabiano,H
Dimas Gadelha,H
Domingos Neto,H
Domingos Sávio,H
Dorinaldo Malafaia,H
Douglas Viegas,H
Doutor Luizinho,H
Dr Fabio Rueda,H
Dr Flávio,H
Dr. Benjamim,H
Dr. Daniel Soranz,H
Dr. Fernando Máximo,H
Dr. Francisco,H
Dr. Frederico,H
Dr. Gonçalo,H
Dr. Ismael Alexandrino,H
Dr. Jaziel,H
Dr. Luiz Ovando,H
Dr. Remy Soares,H
Dr. Victor Linhalis,H
Dr. Zacharias Calil,H
Dra. Alessandra Haber,M
Dra. Mayra Pinheiro,M
Duarte Gonçalves Jr,H
Duarte Jr.,H
Duda Ramos,H
Duda Salabert,M
Délio Pinheiro,H
Eduardo Barbosa,H
Eduardo Bismarck,H
Eduardo Bolsonaro,H
Eduardo Cury,H
Eduardo Velloso,H
Eduardo da Fonte,H
Elcione Barbalho,M
Eli Borges,H
Eliane Braz,M
Elisangela Araujo,M
Eliza Virgínia,M
Elmar Nascimento,H
Ely Santos,M
Emanuel Pinheiro Neto,H
Emidinho Madeira,H
Enfermeira Ana Paula,M
Enfermeira Rejane,M
Enio Verri,H
Eriberto Medeiros,H
Erika Hilton,M
Erika Kokay,M
Eros Biondini,H
Euclydes Pettersen,H
Eunício Oliveira,H
Evair Vieira de Melo,H
Fabio Garcia,H
Fabio Reis,H
Fabio Schiochet,H
Fausto Pinato,H
Fausto Santos Jr.,H
Felipe Becari,H
Felipe Carreras,H
Felipe Francischini,H
Felipe Saliba,H
Fernanda Melchionna,M
Fernanda Pessoa,M
Fernando Coelho Filho,H
Fernando Mineiro,H
Fernando Monteiro,H
Fernando Rodolfo,H
Filipe Barros,H
Filipe Martins,H
Flavinha,M
Florentino Neto,H
Flávia Morais,M
Flávio Nogueira,H
Franciane Bayer,M
Fred Costa,H
Fred Linhares,H
Fábio Henrique,H
Fábio Macedo,H
Fábio Teruel,H
Félix Mendonça Júnior,H
Gabriel Mota,H
Gabriel Nunes,H
General Girão,H
General Pazuello,H
Geovania de Sá,M
Geraldo Mendes,H
Geraldo Resende,H
Gerlen Diniz,H
Gervásio Maia,H
Giacobo,H
Gil Cutrim,H
Gilberto Abramo,H
Gilberto Nascimento,H
Gilson Daniel,H
Gilson Marques,H
Gilvan Maximo,H
Gilvan da Federal,H
